config,payload_size,num_clients,threads_per,avg_bw
cpu_1thread,64,1,1,298858759.8593612
cpu_1thread,64,1,32,83514789.25711386
cpu_1thread,64,1,64,82299017.96952221
cpu_1thread,64,2,1,232415819.27633333
cpu_1thread,64,2,32,85713867.81477077
cpu_1thread,64,2,64,80582853.24832039
cpu_1thread,64,3,1,212377846.16724774
cpu_1thread,64,3,32,84547877.86991002
cpu_1thread,64,3,64,84834489.41372286
cpu_1thread,128,1,1,619154691.4082847
cpu_1thread,128,1,32,164383752.03456232
cpu_1thread,128,1,64,162625180.76121765
cpu_1thread,128,2,1,504829390.7577054
cpu_1thread,128,2,32,166419501.30309722
cpu_1thread,128,2,64,165094173.1379887
cpu_1thread,128,3,1,349076399.98831123
cpu_1thread,128,3,32,164444752.88487917
cpu_1thread,128,3,64,156206176.38500112
cpu_1thread,256,1,1,1085745326.982867
cpu_1thread,256,1,32,312434718.5321414
cpu_1thread,256,1,64,308729044.2651129
cpu_1thread,256,2,1,1035612902.4802974
cpu_1thread,256,2,32,308784538.5241359
cpu_1thread,256,2,64,307151223.94900763
cpu_1thread,256,3,1,605590335.9360435
cpu_1thread,256,3,32,304345559.3262599
cpu_1thread,256,3,64,303440394.146469
cpu_1thread,512,1,1,1790090171.85512
cpu_1thread,512,1,32,567118920.004191
cpu_1thread,512,1,64,575541950.4872719
cpu_1thread,512,2,1,1358134759.5712397
cpu_1thread,512,2,32,547831478.1770061
cpu_1thread,512,2,64,553505112.5689598
cpu_1thread,512,3,1,1359055752.818774
cpu_1thread,512,3,32,539845841.9869255
cpu_1thread,512,3,64,560346474.2955135
cpu_1thread,1024,1,1,3649174633.3576255
cpu_1thread,1024,1,32,976232132.2223547
cpu_1thread,1024,1,64,1006923838.6758893
cpu_1thread,1024,2,1,3634744847.8281546
cpu_1thread,1024,2,32,986274522.5619215
cpu_1thread,1024,2,64,998791242.9495292
cpu_1thread,1024,3,1,1306684130.7204068
cpu_1thread,1024,3,32,981721294.2207172
cpu_1thread,1024,3,64,971705020.6436573
cpu_1thread,2048,1,1,6739664268.320812
cpu_1thread,2048,1,32,1432668785.67804
cpu_1thread,2048,1,64,1454083588.5060556
cpu_1thread,2048,2,1,3495445108.1255527
cpu_1thread,2048,2,32,1436997590.4738944
cpu_1thread,2048,2,64,1448273919.2945888
cpu_1thread,2048,3,1,1475501176.37438
cpu_1thread,2048,3,32,1447366554.4791613
cpu_1thread,2048,3,64,1432497984.3017423
cpu_1thread,3072,1,1,10066553096.62538
cpu_1thread,3072,1,32,1828154317.2750893
cpu_1thread,3072,1,64,1831960318.7601237
cpu_1thread,3072,2,1,6698497173.317039
cpu_1thread,3072,2,32,1820240355.4790728
cpu_1thread,3072,2,64,1776816468.5503688
cpu_1thread,3072,3,1,1917868073.6910033
cpu_1thread,3072,3,32,1788347445.5707984
cpu_1thread,3072,3,64,1776489058.1896584
cpu_1thread,4096,1,1,11575815458.050467
cpu_1thread,4096,1,32,2351920671.5355487
cpu_1thread,4096,1,64,2138516173.4159205
cpu_1thread,4096,2,1,1861475282.683612
cpu_1thread,4096,2,32,2295695610.3388524
cpu_1thread,4096,2,64,2271087391.2641068
cpu_1thread,4096,3,1,1917202094.3208828
cpu_1thread,4096,3,32,2280231648.8667564
cpu_1thread,4096,3,64,2285132377.287246
cpu_1thread,6144,1,1,13894452205.323132
cpu_1thread,6144,1,32,2182977244.3944306
cpu_1thread,6144,1,64,2181069108.387471
cpu_1thread,6144,2,1,2037624168.4919937
cpu_1thread,6144,2,32,2139109010.2621384
cpu_1thread,6144,2,64,2167985583.401045
cpu_1thread,6144,3,1,2100288490.2301953
cpu_1thread,6144,3,32,2160769204.6161346
cpu_1thread,6144,3,64,2128199174.019273
cpu_1thread,8192,1,1,12871481864.469791
cpu_1thread,8192,1,32,2618860845.894193
cpu_1thread,8192,1,64,2582122648.076346
cpu_1thread,8192,2,1,2323032870.502723
cpu_1thread,8192,2,32,2633783836.5275326
cpu_1thread,8192,2,64,2638973789.324846
cpu_1thread,8192,3,1,2333822175.492568
cpu_1thread,8192,3,32,2703420337.3774343
cpu_1thread,8192,3,64,2717071877.5777225
