config,payload_size,num_clients,threads_per,avg_bw
cpu_1thread_catnip,64,1,1,158818454.15431792
cpu_1thread_catnip,64,1,16,31133142.997260954
cpu_1thread_catnip,64,1,64,31325170.300211903
cpu_1thread_catnip,128,1,1,315434171.06832796
cpu_1thread_catnip,128,1,16,60679032.46647409
cpu_1thread_catnip,128,1,64,60847285.49130006
cpu_1thread_catnip,256,1,1,588118312.8592756
cpu_1thread_catnip,256,1,16,115700473.45848234
cpu_1thread_catnip,256,1,64,115512056.72435074
cpu_1thread_catnip,512,1,1,1087694917.6081333
cpu_1thread_catnip,512,1,16,215932497.73598102
cpu_1thread_catnip,512,1,64,204217449.93823734
cpu_1thread_catnip,1024,1,1,2081481709.7464542
cpu_1thread_catnip,1024,1,16,352672517.690507
cpu_1thread_catnip,1024,1,64,343634004.39635426
cpu_1thread_catnip,2048,1,1,3420510867.2755146
cpu_1thread_catnip,2048,1,16,505760499.9134502
cpu_1thread_catnip,2048,1,64,545884555.5680239
cpu_1thread_catnip,3072,1,1,4136688708.570327
cpu_1thread_catnip,3072,1,16,664572728.9928149
cpu_1thread_catnip,3072,1,64,661648600.1593672
cpu_1thread_catnip,4096,1,1,4982509628.151875
cpu_1thread_catnip,4096,1,16,791980241.3743222
cpu_1thread_catnip,4096,1,64,791408661.575317
cpu_1thread_catnip,6144,1,1,4134709693.5901585
cpu_1thread_catnip,6144,1,16,773662914.0080135
cpu_1thread_catnip,6144,1,64,690618793.0073823
cpu_1thread_catnip,8192,1,1,6428902686.780216
cpu_1thread_catnip,8192,1,16,967117292.5878499
cpu_1thread_catnip,8192,1,64,976538794.3859216
cpu_1thread_catnap,64,1,1,69579994.4319859
cpu_1thread_catnap,64,1,16,37566804.46739198
cpu_1thread_catnap,64,1,64,69704954.56635803
cpu_1thread_catnap,128,1,1,140311239.26480153
cpu_1thread_catnap,128,1,16,123159153.13264754
cpu_1thread_catnap,128,1,64,136673282.59048715
cpu_1thread_catnap,256,1,1,259192809.80687734
cpu_1thread_catnap,256,1,16,239098040.7057006
cpu_1thread_catnap,256,1,64,126885998.91605766
cpu_1thread_catnap,512,1,1,496302724.2166441
cpu_1thread_catnap,512,1,16,336830034.94502294
cpu_1thread_catnap,512,1,64,537880106.3091949
cpu_1thread_catnap,1024,1,1,1003113203.5937791
cpu_1thread_catnap,1024,1,16,929184213.9616292
cpu_1thread_catnap,1024,1,64,963624883.0390874
cpu_1thread_catnap,2048,1,1,1921639597.3409376
cpu_1thread_catnap,2048,1,16,1985607004.947143
cpu_1thread_catnap,2048,1,64,2131921038.9310272
cpu_1thread_catnap,3072,1,1,2606303330.1371427
cpu_1thread_catnap,3072,1,16,3729762194.0035176
cpu_1thread_catnap,3072,1,64,3554282141.8143888
cpu_1thread_catnap,4096,1,1,3142446317.184827
cpu_1thread_catnap,4096,1,16,5066231603.4875555
cpu_1thread_catnap,4096,1,64,4895469346.792624
cpu_1thread_catnap,6144,1,1,5361872641.74316
cpu_1thread_catnap,6144,1,16,7526384249.054012
cpu_1thread_catnap,6144,1,64,7517464992.770641
cpu_1thread_catnap,8192,1,1,5838665511.668361
cpu_1thread_catnap,8192,1,16,6226295958.378232
cpu_1thread_catnap,8192,1,64,6226607054.19749
cpu_1thread_posix,64,1,1,148223817.15405062
cpu_1thread_posix,64,1,16,130920839.421378
cpu_1thread_posix,64,1,64,140195011.87263405
cpu_1thread_posix,128,1,1,291951866.4563355
cpu_1thread_posix,128,1,16,250486770.08733585
cpu_1thread_posix,128,1,64,249786904.0370901
cpu_1thread_posix,256,1,1,518601324.1171886
cpu_1thread_posix,256,1,16,169216419.4870263
cpu_1thread_posix,256,1,64,412960759.19272745
cpu_1thread_posix,512,1,1,1018274123.2426301
cpu_1thread_posix,512,1,16,836425342.726369
cpu_1thread_posix,512,1,64,869716125.6470946
cpu_1thread_posix,1024,1,1,1829448988.7626472
cpu_1thread_posix,1024,1,16,1598934699.3222086
cpu_1thread_posix,1024,1,64,1066702676.9283363
cpu_1thread_posix,2048,1,1,4909995587.689751
cpu_1thread_posix,2048,1,16,3739490711.765949
cpu_1thread_posix,2048,1,64,3771609371.8006735
cpu_1thread_posix,3072,1,1,8872935711.487522
cpu_1thread_posix,3072,1,16,6191345637.2852745
cpu_1thread_posix,3072,1,64,6009183776.1119
cpu_1thread_posix,4096,1,1,6874080561.748511
cpu_1thread_posix,4096,1,16,7208154712.327489
cpu_1thread_posix,4096,1,64,7785297838.452788
cpu_1thread_posix,6144,1,1,7585532421.686518
cpu_1thread_posix,6144,1,16,11264414111.724485
cpu_1thread_posix,6144,1,64,11384689243.116858
cpu_1thread_posix,8192,1,1,9472962621.896774
cpu_1thread_posix,8192,1,16,11081134633.41709
cpu_1thread_posix,8192,1,64,11462249120.901962
