config,payload_size,num_clients,threads_per,avg_bw
cpu_1thread,64,2,1,265113387.90847048
cpu_1thread,64,2,8,81510424.07516645
cpu_1thread,64,2,32,83723478.67303951
cpu_1thread,64,2,64,84289433.35715531
cpu_1thread,128,2,1,459187041.38698924
cpu_1thread,128,2,8,159682237.83185595
cpu_1thread,128,2,32,160121558.84940153
cpu_1thread,128,2,64,165185080.6430556
cpu_1thread,256,2,1,983707767.7888799
cpu_1thread,256,2,8,294055684.20160246
cpu_1thread,256,2,32,296305662.5572034
cpu_1thread,256,2,64,297156370.6690261
cpu_1thread,512,2,1,1858057232.608387
cpu_1thread,512,2,8,549746057.8198278
cpu_1thread,512,2,32,541035864.7754369
cpu_1thread,512,2,64,519329178.20585835
cpu_1thread,1024,2,1,2876901631.215028
cpu_1thread,1024,2,8,893111474.810208
cpu_1thread,1024,2,32,812488366.7364918
cpu_1thread,1024,2,64,824501533.3727033
cpu_1thread,2048,2,1,3586928891.575773
cpu_1thread,2048,2,8,1367011914.8583455
cpu_1thread,2048,2,32,1366683327.6426642
cpu_1thread,2048,2,64,1356941185.1502228
cpu_1thread,3072,2,1,4899505979.141172
cpu_1thread,3072,2,8,1809857480.471914
cpu_1thread,3072,2,32,1712444988.8785446
cpu_1thread,3072,2,64,1723759359.6096058
cpu_1thread,4096,2,1,1877120212.1209326
cpu_1thread,4096,2,8,2167811704.095007
cpu_1thread,4096,2,32,2156160740.535148
cpu_1thread,4096,2,64,2193452387.5924788
cpu_1thread,6144,2,1,2077684101.1013365
cpu_1thread,6144,2,8,2384689051.643785
cpu_1thread,6144,2,32,2421564879.851674
cpu_1thread,6144,2,64,2405592878.380481
cpu_1thread,8192,2,1,2287673316.939034
cpu_1thread,8192,2,8,2708887634.940192
cpu_1thread,8192,2,32,2783247571.5237603
cpu_1thread,8192,2,64,2760172107.4586086
fpga_1instance,64,2,1,467305676.8
fpga_1instance,64,2,8,3722999222.857143
fpga_1instance,64,2,32,8761824889.904762
fpga_1instance,64,2,64,9416972748.8
fpga_1instance,128,2,1,966887731.2
fpga_1instance,128,2,8,6966788198.4
fpga_1instance,128,2,32,16927184408.380953
fpga_1instance,128,2,64,16774745395.2
fpga_1instance,256,2,1,2007900774.4
fpga_1instance,256,2,8,13450676321.52381
fpga_1instance,256,2,32,33653642649.6
fpga_1instance,256,2,64,33540700160.0
fpga_1instance,512,2,1,3730587238.4
fpga_1instance,512,2,8,28959017252.57143
fpga_1instance,512,2,32,67547806573.71429
fpga_1instance,512,2,64,65032195635.2
fpga_1instance,1024,2,1,7074949022.476191
fpga_1instance,1024,2,8,57520782387.2
fpga_1instance,1024,2,32,93944943177.14285
fpga_1instance,1024,2,64,93944751872.0
fpga_1instance,2048,2,1,14202275840.0
fpga_1instance,2048,2,8,95270546995.2
fpga_1instance,2048,2,32,96877944883.2
fpga_1instance,2048,2,64,96877945446.4
fpga_1instance,3072,2,1,19764606683.42857
fpga_1instance,3072,2,8,97896736512.0
fpga_1instance,3072,2,32,97896737792.0
fpga_1instance,3072,2,64,97896738918.4
fpga_1instance,4096,2,1,24804274371.04762
fpga_1instance,4096,2,8,98414211315.80952
fpga_1instance,4096,2,32,98414212096.0
fpga_1instance,4096,2,64,98414212827.42857
fpga_1instance,6144,2,1,36163803596.8
fpga_1instance,6144,2,8,98937183590.4
fpga_1instance,6144,2,32,98937184358.4
fpga_1instance,6144,2,64,98937186252.8
fpga_1instance,8192,2,1,37377433651.2
fpga_1instance,8192,2,8,99200760422.4
fpga_1instance,8192,2,32,99200761958.4
fpga_1instance,8192,2,64,99197461196.8
