timestamp,energy_joule,V_12V,I_12V,V_3V,I_3V
1701053352.988767,0.000000,12.014000,2.110000,3.367000,0.000000
1701053353.088946,2.539492,12.009000,2.120000,3.367000,0.000000
1701053353.189098,5.089269,12.007000,2.137000,3.366000,0.000000
1701053353.289898,7.675692,12.004000,2.159000,3.366000,0.000000
1701053353.392714,10.340337,12.001000,2.183000,3.366000,0.000000
1701053353.493140,12.971316,11.998000,2.197000,3.366000,0.000000
1701053353.594185,15.634822,11.995000,2.224000,3.366000,0.000000
1701053353.696821,18.372831,11.993000,2.253000,3.366000,0.000000
1701053353.799504,21.147349,11.993000,2.279000,3.366000,0.000000
1701053353.902011,23.949075,11.992000,2.282000,3.365000,0.000000
1701053354.004875,26.764025,11.990000,2.282000,3.365000,0.000000
1701053354.106512,29.544933,11.989000,2.287000,3.366000,0.000000
1701053354.207639,32.317718,11.988000,2.292000,3.365000,0.000000
1701053354.308541,35.090152,11.987000,2.294000,3.366000,0.000000
1701053354.408751,37.845744,11.987000,2.301000,3.366000,0.000000
1701053354.509117,40.614048,11.987000,2.301000,3.366000,0.000000
1701053354.610273,43.404142,11.987000,2.304000,3.365000,0.000000
1701053354.710686,46.177353,11.987000,2.307000,3.365000,0.000000
1701053354.813305,49.015179,11.986000,2.301000,3.365000,0.000000
1701053354.914025,51.793015,11.986000,2.301000,3.365000,0.000000
1701053355.014635,54.567818,11.985000,2.302000,3.365000,0.000000
1701053355.115780,57.358355,11.987000,2.303000,3.364000,0.000000
1701053355.217268,60.160039,11.987000,2.300000,3.364000,0.000000
1701053355.320081,62.994603,11.987000,2.301000,3.364000,0.000000
1701053355.420379,65.761031,11.990000,2.299000,3.364000,0.000000
1701053355.522777,68.583633,11.992000,2.299000,3.363000,0.000000
1701053355.623448,71.359093,11.993000,2.294000,3.364000,0.000000
1701053355.724980,74.152436,11.993000,2.297000,3.364000,0.000000
1701053355.825502,76.921608,11.993000,2.297000,3.365000,0.000000
1701053355.926685,79.708989,11.992000,2.300000,3.365000,0.000000
1701053356.027344,82.485325,11.992000,2.300000,3.364000,0.000000
1701053356.128492,85.275149,11.991000,2.299000,3.364000,0.000000
1701053356.230028,88.074223,11.993000,2.298000,3.365000,0.000000
1701053356.331417,90.868496,11.992000,2.298000,3.365000,0.000000
1701053356.432231,93.646689,11.992000,2.299000,3.366000,0.000000
1701053356.533882,96.449167,11.991000,2.305000,3.366000,0.000000
1701053356.634043,99.217543,11.992000,2.306000,3.367000,0.000000
1701053356.735178,102.014285,11.992000,2.300000,3.367000,0.000000
1701053356.837231,104.829070,11.991000,2.300000,3.367000,0.000000
1701053356.939266,107.643124,11.992000,2.300000,3.367000,0.000000
1701053357.039406,110.405145,11.992000,2.300000,3.367000,0.000000
1701053357.142744,113.255372,11.992000,2.310000,3.368000,0.000000
1701053357.243040,116.033724,11.992000,2.308000,3.367000,0.000000
1701053357.344545,118.843132,11.992000,2.303000,3.366000,0.000000
1701053357.446289,121.653055,11.991000,2.303000,3.365000,0.000000
1701053357.548034,124.462771,11.988000,2.300000,3.365000,0.000000
1701053357.649036,127.247638,11.987000,2.293000,3.365000,0.000000
1701053357.752023,130.078359,11.983000,2.292000,3.365000,0.000000
1701053357.854470,132.892069,11.984000,2.293000,3.364000,0.000000
1701053357.956197,135.687457,11.984000,2.299000,3.365000,0.000000
1701053358.057322,138.473574,11.982000,2.299000,3.364000,0.000000
1701053358.157901,141.244185,11.982000,2.296000,3.364000,0.000000
1701053358.260301,144.061278,11.983000,2.290000,3.365000,0.000000
1701053358.363012,146.879778,11.983000,2.291000,3.365000,0.000000
1701053358.465823,149.702254,11.987000,2.291000,3.366000,0.000000
1701053358.567545,152.495765,11.987000,2.292000,3.366000,0.000000
1701053358.668392,155.266456,11.990000,2.292000,3.366000,0.000000
1701053358.769277,158.038885,11.990000,2.297000,3.366000,0.000000
1701053358.871073,160.842452,11.989000,2.300000,3.366000,0.000000
1701053358.972367,163.635604,11.992000,2.300000,3.366000,0.000000
1701053359.074370,166.449009,11.991000,2.298000,3.366000,0.000000
1701053359.177767,169.298147,11.991000,2.292000,3.366000,0.000000
1701053359.279401,172.091392,11.990000,2.293000,3.365000,0.000000
1701053359.380744,174.877622,11.990000,2.303000,3.364000,0.000000
1701053359.484109,177.731837,11.991000,2.315000,3.364000,0.000000
1701053359.586933,180.586145,11.987000,2.318000,3.364000,0.000000
1701053359.688271,183.401909,11.987000,2.323000,3.364000,0.000000
1701053359.790009,186.234885,11.987000,2.320000,3.365000,0.000000
1701053359.891422,189.055164,11.990000,2.320000,3.366000,0.000000
1701053359.994715,191.928445,11.991000,2.319000,3.365000,0.000000
1701053360.095888,194.741776,11.989000,2.318000,3.365000,0.000000
1701053360.196084,197.526273,11.989000,2.321000,3.366000,0.000000
1701053360.298091,200.364768,11.986000,2.320000,3.365000,0.000000
1701053360.401613,203.243458,11.987000,2.325000,3.366000,0.000000
1701053360.503680,206.088042,11.989000,2.316000,3.367000,0.000000
1701053360.606084,208.931445,11.985000,2.303000,3.367000,0.000000
1701053360.709427,211.783862,11.986000,2.301000,3.366000,0.000000
1701053360.811105,214.588120,11.984000,2.300000,3.366000,0.000000
1701053360.911232,217.347940,11.983000,2.305000,3.367000,0.000000
1701053361.011357,220.113474,11.982000,2.305000,3.367000,0.000000
1701053361.111633,222.882948,11.982000,2.310000,3.367000,0.000000
1701053361.214310,225.724885,11.984000,2.309000,3.367000,0.000000
1701053361.317093,228.568999,11.984000,2.309000,3.366000,0.000000
1701053361.419207,231.394602,11.987000,2.326000,3.366000,0.000000
1701053361.519355,234.186904,11.988000,2.326000,3.366000,0.000000
1701053361.619543,236.980555,11.986000,2.328000,3.366000,0.000000
1701053361.719877,239.780216,11.990000,2.325000,3.365000,0.000000
1701053361.821453,242.611825,11.990000,2.324000,3.365000,0.000000
1701053361.921694,245.405016,11.992000,2.323000,3.366000,0.000000
1701053362.021809,248.193961,11.992000,2.320000,3.365000,0.000000
1701053362.122561,250.997027,11.991000,2.312000,3.364000,0.000000
1701053362.223217,253.787533,11.991000,2.313000,3.364000,0.000000
1701053362.323810,256.577498,11.992000,2.318000,3.364000,0.000000
1701053362.426708,259.437800,11.994000,2.319000,3.364000,0.000000
1701053362.528428,262.267049,11.995000,2.302000,3.364000,0.000000
1701053362.629611,265.060964,11.995000,2.291000,3.364000,0.000000
1701053362.731722,267.867030,11.994000,2.290000,3.363000,0.000000
1701053362.833219,270.654773,11.995000,2.290000,3.364000,0.000000
1701053362.933315,273.404265,11.995000,2.298000,3.363000,0.000000
1701053363.034201,276.185138,11.992000,2.305000,3.363000,0.000000
1701053363.134486,278.957172,11.992000,2.309000,3.364000,0.000000
1701053363.234635,281.730250,11.992000,2.309000,3.365000,0.000000
1701053363.334909,284.506790,11.993000,2.308000,3.365000,0.000000
1701053363.435820,287.299991,11.992000,2.297000,3.365000,0.000000
1701053363.537691,290.106091,11.992000,2.297000,3.365000,0.000000
1701053363.638523,292.883571,11.990000,2.309000,3.366000,0.000000
1701053363.740075,295.695029,11.991000,2.308000,3.366000,0.000000
1701053363.841189,298.493382,11.989000,2.311000,3.366000,0.000000
1701053363.944217,301.347936,11.986000,2.306000,3.366000,0.000000
1701053364.044843,304.129210,11.986000,2.303000,3.366000,0.000000
1701053364.146646,306.939355,11.987000,2.298000,3.365000,0.000000
1701053364.246979,309.703141,11.990000,2.298000,3.365000,0.000000
1701053364.348607,312.503299,11.988000,2.298000,3.365000,0.000000
1701053364.450700,315.315800,11.989000,2.312000,3.365000,0.000000
1701053364.553262,318.158672,11.988000,2.319000,3.365000,0.000000
1701053364.653390,320.942248,11.988000,2.322000,3.364000,0.000000
1701053364.753534,323.729870,11.988000,2.322000,3.364000,0.000000
1701053364.854539,326.541459,11.989000,2.309000,3.364000,0.000000
1701053364.955002,329.322536,11.989000,2.311000,3.364000,0.000000
1701053365.055994,332.120679,11.987000,2.308000,3.365000,0.000000
1701053365.156181,334.892452,11.987000,2.317000,3.365000,0.000000
1701053365.256821,337.687615,11.987000,2.316000,3.366000,0.000000
1701053365.357783,340.490511,11.985000,2.316000,3.366000,0.000000
1701053365.459094,343.302627,11.986000,2.300000,3.366000,0.000000
1701053365.559208,346.062550,11.986000,2.294000,3.366000,0.000000
1701053365.660527,348.848405,11.984000,2.300000,3.366000,0.000000
1701053365.760783,351.611781,11.984000,2.300000,3.366000,0.000000
1701053365.862126,354.405119,11.982000,2.303000,3.366000,0.000000
1701053365.962718,357.180909,11.981000,2.303000,3.366000,0.000000
1701053366.063050,359.949294,11.979000,2.305000,3.366000,0.000000
1701053366.163408,362.720338,11.980000,2.306000,3.366000,0.000000
1701053366.265613,365.543842,11.981000,2.297000,3.367000,0.000000
1701053366.366894,368.331131,11.979000,2.293000,3.366000,0.000000
1701053366.467441,371.092940,11.982000,2.292000,3.366000,0.000000
1701053366.567553,373.842291,11.982000,2.296000,3.366000,0.000000
1701053366.668029,376.606453,11.983000,2.293000,3.366000,0.000000
1701053366.770740,379.428645,11.984000,2.285000,3.366000,0.000000
1701053366.871287,382.181968,11.986000,2.284000,3.366000,0.000000
1701053366.972358,384.948890,11.986000,2.285000,3.366000,0.000000
1701053367.072847,387.701084,11.988000,2.285000,3.365000,0.000000
1701053367.172987,390.444177,11.991000,2.297000,3.364000,0.000000
1701053367.273113,393.201980,11.991000,2.297000,3.364000,0.000000
