buf_size,time,bytes,server,bw_gbps
128,102.918862957,3211268190,fpga-no-copy,0.24961552024465591
128,109.031592514,3211260290,fpga,0.2356205364669998
64,113.449557423,3211260032,fpga-no-copy,0.22644495791388397
64,114.194263149,3211262401,fpga,0.22496838719892356
2048,32.053250811,102760447680,fpga-no-copy,25.647432339620238
2048,42.765566984,102760444237,fpga,19.223024780744012
1024,16.022219402,51380224080,fpga-no-copy,25.654485332331113
6144,97.411623695,308281339220,fpga-no-copy,25.317827793138296
6144,75.973667465,308281342821,fpga,32.46191509320209
3072,49.480352237,154140675400,fpga-no-copy,24.921516267580326
3072,46.746607515,154140675440,fpga,26.378928206165895
4096,65.01952195,205520896520,fpga-no-copy,25.287284846916656
4096,57.524906289,205520895957,fpga,28.58183130965656
8192,96.949593954,411041793477,fpga,33.91797957788484
512,63.174489706,6422528091,fpga-no-copy,0.8133065255787916
256,89.047542354,3211256515,fpga-no-copy,0.28849815998145856
256,96.804334435,3211256994,fpga,0.2653812569647879
1024,65.127335777,12845050312,fpga,1.5778382651465728
512,81.417881706,3211263104,fpga,0.31553393792246986
