buf_size,time,bytes,server,bw_gbps
6144,43.413407612,154140672000,fpga-no-copy,28.404252138437275
6144,43.532027467,154140672000,fpga,28.326853761515846
6144,36.241544512,144998400000,catnip,32.00711271055004
6144,37.27445021,144998400000,catnip-no-copy,31.12016927049935
8192,46.898594623,205520896000,fpga-no-copy,35.05791977812631
8192,47.000087475,205520896000,fpga,34.98221506235612
8192,51.333229214,193331200000,catnip,30.12959877416373
8192,53.366086438,193331200000,catnip-no-copy,28.981881626206125
64,80.866192891,3211264000,fpga-no-copy,0.31768667574876247
64,73.453980657,3211264000,fpga,0.3497443129728026
64,53.466789616,3148800000,catnip,0.47114106122544797
64,53.176873518,3148800000,catnip-no-copy,0.4737096849342454
512,76.142572418,25690112000,fpga-no-copy,2.699158821056788
512,76.376467469,25690112000,fpga,2.690892925670039
512,57.036089995,25190400000,catnip,3.533257627191245
512,58.405931637,25190400000,catnip-no-copy,3.450389273002121
256,77.375770606,12845056000,fpga-no-copy,1.3280701076731065
256,75.072618924,12845056000,fpga,1.3688139493845268
256,56.026225027,12595200000,catnip,1.7984720539611807
256,55.415209509,12595200000,catnip-no-copy,1.8183022475740218
2048,73.871537506,102760448000,fpga-no-copy,11.128556569344841
2048,75.13014431,102760448000,fpga,10.942127045676107
2048,53.191296061,100761600000,catnip,15.15459971262158
2048,53.789821919,100761600000,catnip-no-copy,14.98597264764817
1024,86.031381943,51380224000,fpga-no-copy,4.7778122670670955
1024,83.889119516,51380224000,fpga,4.899822460546899
1024,61.686961337,50380800000,catnip,6.533737296576022
1024,61.951076718,50380800000,catnip-no-copy,6.505882082318904
3072,78.085700665,154140672000,fpga-no-copy,15.791948660232975
3072,76.616326197,154140672000,fpga,16.09481212697829
3072,57.013915154,151142400000,catnip,21.207791058270605
3072,56.460821027,151142400000,catnip-no-copy,21.415544053491185
128,77.291343722,6422528000,fpga-no-copy,0.6647603926359903
128,74.061821602,6422528000,fpga,0.6937477756908494
128,54.818998719,6297600000,catnip,0.9190390407940497
128,57.457197076,6297600000,catnip-no-copy,0.8768405450297222
4096,80.293320058,205520896000,fpga-no-copy,20.477010625695055
4096,80.892844058,205520896000,fpga,20.325248631648254
4096,60.810893318,201523200000,catnip,26.51146056298426
4096,60.798186109,201523200000,catnip-no-copy,26.517001627476958
