config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
100gb_cluster,1,1,1,70695,7069.5,135.34201853030623,134,178,272.89282199999434
100gb_cluster,1,1,2,174944,17494.4,108.80653237607463,112,157,280.46807800000533
100gb_cluster,1,1,4,360317,36031.7,107.87845425000764,94,232,296.09112499999173
100gb_cluster,1,1,6,399937,39993.7,145.68659063802548,125,372,359.9174800000037
100gb_cluster,1,1,8,409183,40918.3,191.11029294960935,169,430,377.3635249999934
100gb_cluster,1,1,10,395631,39563.1,247.63236197365728,223,520,298.24566699998104
100gb_cluster,1,1,12,389926,38992.6,302.85488528592606,282,605,290.51031499999226
100gb_cluster,1,1,16,399580,39958.0,394.79640122128234,362,891,342.0453489999927
100gb_cluster,1,1,24,410230,41023.0,578.3647539185336,533,1129,297.8581539999868
100gb_cluster,1,1,32,428461,42846.1,739.2235769416586,678,1404,448.52252200001385
100gb_cluster,1,2,1,161261,16126.1,117.75433613830994,117,160,278.7718500000192
100gb_cluster,1,2,2,276420,27642.0,138.2188408942913,121,387,280.03552199999103
100gb_cluster,1,2,4,407822,40782.2,189.77289111426063,166,410,367.01647999999113
100gb_cluster,1,2,6,409472,40947.2,286.17791692716474,265,675,345.68481400000746
100gb_cluster,1,2,8,411686,41168.6,380.82144158411995,356,815,442.774413999985
100gb_cluster,1,2,10,412108,41210.8,476.92776650780866,441,992,411.6091919999744
100gb_cluster,1,2,12,414421,41442.1,569.6289715048224,515,1147,387.68029799999204
100gb_cluster,1,2,16,422011,42201.1,746.6432391572731,683,1433,333.16833499999484
100gb_cluster,1,2,24,433642,43364.2,1091.8393282938462,1011,1947,418.0375370000256
100gb_cluster,1,2,32,436925,43692.5,1447.4987309034732,1344,2439,340.00347899997723
100gb_cluster,2,1,1,47522,4752.2,203.84945919784522,162,583,273.0145869999833
100gb_cluster,2,1,2,141474,14147.4,135.83917893040416,131,289,281.7622679999913
100gb_cluster,2,1,4,335972,33597.2,114.72591465955496,108,244,287.7028200000059
100gb_cluster,2,1,6,447803,44780.3,130.24225831448203,115,318,290.02874700000393
100gb_cluster,2,1,8,506992,50699.2,154.0401682866791,134,381,291.8185419999936
100gb_cluster,2,1,10,553792,55379.2,177.2139268895181,156,433,292.0593260000169
100gb_cluster,2,1,12,579655,57965.5,202.88596320224963,179,496,297.66180400000303
100gb_cluster,2,1,16,610374,61037.4,258.2260974418963,242,588,293.13946599999326
100gb_cluster,2,1,24,645589,64558.9,366.8089512057981,354,809,310.3632820000057
100gb_cluster,2,1,32,664215,66421.5,476.759308356481,458,1036,309.8208610000147
100gb_cluster,2,2,1,134207,13420.7,142.37831111640972,135,262,279.47717299999204
100gb_cluster,2,2,2,285970,28597.0,133.23147183270973,123,275,285.6271359999955
100gb_cluster,2,2,4,469647,46964.7,164.23240646698477,143,386,291.84729000000516
100gb_cluster,2,2,6,546050,54605.0,213.60715502243383,191,503,291.6925049999845
100gb_cluster,2,2,8,598909,59890.9,260.45201190831995,238,618,291.86944599999697
100gb_cluster,2,2,10,626768,62676.8,312.4465160952697,295,742,292.5330200000026
100gb_cluster,2,2,12,634726,63472.6,370.6892344098083,352,872,292.87066600000253
100gb_cluster,2,2,16,677653,67765.3,464.04801424918065,442,1056,297.60717799997656
100gb_cluster,2,2,24,695418,69541.8,680.3790267148679,660,1433,294.11187799999607
100gb_cluster,2,2,32,727307,72730.7,869.1125246972737,857,1824,300.16912900001626
100gb_cluster,3,1,1,19538,1953.8,501.97722387143006,583,786,270.698120999994
100gb_cluster,3,1,2,106186,10618.6,182.15357015049065,151,518,280.96704099999624
100gb_cluster,3,1,4,292202,29220.2,132.13978343748502,124,259,288.56481900000654
100gb_cluster,3,1,6,454151,45415.1,128.2060063723299,115,298,295.28222600001027
100gb_cluster,3,1,8,558973,55897.3,139.55792319128116,121,351,297.9083249999967
100gb_cluster,3,1,10,608687,60868.7,160.54216699223082,139,419,299.5303960000165
100gb_cluster,3,1,12,666437,66643.7,176.41833661696455,151,466,300.0069580000127
100gb_cluster,3,1,16,717464,71746.4,219.2962838553572,190,581,301.6843259999878
100gb_cluster,3,1,24,819309,81930.9,288.87997812791025,259,757,309.6607660000154
100gb_cluster,3,1,32,888628,88862.8,355.97831601074915,326,907,319.9732660000154
100gb_cluster,3,2,1,75760,7576.0,256.39284582893345,194,693,281.3614499999967
100gb_cluster,3,2,2,257878,25787.8,148.68399398165025,137,284,286.3709099999978
100gb_cluster,3,2,4,491266,49126.6,156.796582706721,135,372,297.00378400000045
100gb_cluster,3,2,6,633890,63389.0,183.2123586111155,161,445,308.78607200000033
100gb_cluster,3,2,8,684718,68471.8,227.60947134440747,198,586,318.08374000000003
100gb_cluster,3,2,10,751338,75133.8,259.85750221604656,233,652,311.01129200000105
100gb_cluster,3,2,12,790520,79052.0,297.0779385720791,267,771,329.97998099999677
100gb_cluster,3,2,16,850031,85003.1,369.54091439018106,332,928,326.65093999999226
100gb_cluster,3,2,24,931749,93174.9,507.14247291920896,472,1237,320.2960209999983
100gb_cluster,3,2,32,957133,95713.3,660.1943314043085,607,1665,323.5552370000005
100gb_cluster,4,1,1,18493,1849.3,530.2140269291083,589,792,271.4990230000003
100gb_cluster,4,1,2,59976,5997.6,326.5077197545685,292,676,278.5614620000015
100gb_cluster,4,1,4,265724,26572.4,145.80704415107405,134,309,286.6223140000002
100gb_cluster,4,1,6,425536,42553.6,136.7787425740713,126,281,296.91503999999986
100gb_cluster,4,1,8,599832,59983.2,130.12300777551047,112,319,303.9528199999986
100gb_cluster,4,1,10,687860,68786.0,142.01936585933183,122,367,306.7459099999978
100gb_cluster,4,1,12,733483,73348.3,160.34116809796546,135,429,308.806273999995
100gb_cluster,4,1,16,817095,81709.5,192.46044829548583,163,532,310.4240720000016
