config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
100gb_cluster,1,1,1,92307,9230.7,102.98914491858689,104,146,457.476622999995
100gb_cluster,1,1,2,176585,17658.5,107.97092051986296,109,160,462.0080560000206
100gb_cluster,1,1,4,251786,25178.6,153.74514071473394,138,379,464.03521800000453
100gb_cluster,1,1,6,274150,27415.0,213.46003282874338,194,436,464.82958999997936
100gb_cluster,1,1,8,273652,27365.2,286.60544048645727,267,528,461.6835929999943
100gb_cluster,1,1,10,278578,27857.8,353.27543093855223,336,603,462.03002999999444
100gb_cluster,1,1,12,281287,28128.7,420.577477807364,400,758,462.39074699999765
100gb_cluster,1,1,16,287964,28796.4,547.9630856634857,522,956,461.33288600001833
100gb_cluster,2,1,1,91224,9122.4,103.90821494343594,103,161,462.4492799999998
100gb_cluster,2,1,2,193540,19354.0,98.35663428748579,99,158,463.19415300000037
100gb_cluster,2,1,4,332845,33284.5,116.66879478435908,107,266,469.9893189999966
100gb_cluster,2,1,6,385373,38537.3,151.07454595936923,137,338,472.27276699999857
100gb_cluster,2,1,8,409066,40906.6,190.64166418133016,176,422,471.9013669999986
100gb_cluster,2,1,10,428862,42886.2,228.4031016970494,214,509,476.2964479999937
100gb_cluster,2,1,12,454371,45437.1,259.5852530201091,244,581,473.61645499999577
100gb_cluster,2,1,16,457009,45700.9,345.2829287825841,331,787,471.78289799999766
fpga_cluster,1,1,1,122115,12211.5,76.64476927486386,80,98,255.95527899999996
fpga_cluster,1,1,2,228911,22891.1,83.85267636767128,77,191,255.97847299999995
fpga_cluster,1,1,4,280892,28089.2,138.1308759238426,124,370,256.093976
fpga_cluster,1,1,6,290498,29049.8,201.3737443975518,182,487,256.11791200000005
fpga_cluster,1,1,8,293053,29305.3,267.6557448652633,253,537,255.94841399999996
fpga_cluster,1,1,10,297546,29754.6,330.2804037022847,323,585,255.65054800000001
fpga_cluster,1,1,12,302678,30267.8,390.73678628773814,391,570,256.04993399999995
fpga_cluster,1,1,16,317545,31754.5,497.78420066447273,493,715,256.12820100000005
fpga_cluster,2,1,1,114676,11467.6,81.46390700756915,82,135,256.22207000000003
fpga_cluster,2,1,2,255700,25570.0,74.84424325381306,67,157,256.2667890000001
fpga_cluster,2,1,4,379876,37987.6,101.95467468331772,94,221,255.46630700000003
fpga_cluster,2,1,6,423504,42350.4,137.6298334844535,126,316,255.68644899999998
fpga_cluster,2,1,8,443754,44375.4,176.14448771166008,165,391,253.89045599999997
fpga_cluster,2,1,10,463029,46302.9,211.47789015374846,199,484,256.798673
fpga_cluster,2,1,12,454784,45478.4,259.1701489058542,251,560,255.17578700000007
fpga_cluster,2,1,16,491590,49159.0,320.9290506316239,307,698,255.97244500000005
