config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
100gb_cluster,1,1,1,124055,12405.5,75.83641933013583,83,125,504.5931399999972
100gb_cluster,1,1,2,240251,24025.1,78.80514961436165,83,156,511.45288000000437
100gb_cluster,1,1,4,393236,39323.6,97.64480617237486,91,206,531.732422000001
100gb_cluster,1,1,6,463518,46351.8,125.13242851410301,112,267,525.6742559999984
100gb_cluster,1,1,8,490816,49081.6,159.2097934867649,146,316,524.0024419999972
100gb_cluster,1,1,10,457168,45716.8,213.60097163406013,200,405,521.8889160000108
100gb_cluster,1,1,12,480238,48023.8,245.11398306672942,232,476,514.9132079999981
100gb_cluster,1,1,16,488260,48826.0,322.980635317249,310,580,522.9274910000095
100gb_cluster,1,1,24,469246,46924.6,506.07171078709246,477,950,520.9914549999958
100gb_cluster,1,1,32,465256,46525.6,681.1335544302492,641,1267,517.5213619999995
100gb_cluster,1,1,64,488548,48854.8,1302.7030363444328,1257,1966,513.0665889999946
100gb_cluster,1,2,1,217515,21751.5,86.0928119899777,87,135,519.2894289999967
100gb_cluster,1,2,2,380428,38042.8,100.0421682946576,92,211,518.6058960000082
100gb_cluster,1,2,4,509281,50928.1,151.88936952291564,139,309,525.0847169999906
100gb_cluster,1,2,6,451324,45132.4,259.83572112274106,247,484,520.4579470000026
100gb_cluster,1,2,8,471303,47130.3,333.02230200104816,323,588,521.2357179999963
100gb_cluster,1,2,10,461342,46134.2,426.2933658760746,409,842,516.367981000003
100gb_cluster,1,2,12,487509,48750.9,484.7265424843439,457,939,512.7100219999993
100gb_cluster,1,2,16,458826,45882.6,688.4107221473936,648,1282,513.4772340000054
100gb_cluster,1,2,24,464769,46476.9,1021.6641944708016,975,1704,513.2234499999904
100gb_cluster,1,2,32,463296,46329.6,1368.4913705276972,1328,2051,510.6972049999895
100gb_cluster,1,2,64,499563,49956.3,2509.5290463865417,2504,3137,509.21948300000804
100gb_cluster,2,1,1,111582,11158.2,83.92509544550197,86,141,515.2059929999959
100gb_cluster,2,1,2,236089,23608.9,79.90889452706395,86,149,544.5886230000033
100gb_cluster,2,1,4,410484,41048.4,93.40163319398563,86,246,566.4197390000045
100gb_cluster,2,1,6,527998,52799.8,109.84982329478521,96,275,571.121582000007
100gb_cluster,2,1,8,590359,59035.9,131.91465531989857,113,338,572.3910529999994
100gb_cluster,2,1,10,653273,65327.3,149.44322205264874,131,370,574.7169799999974
100gb_cluster,2,1,12,672115,67211.5,175.04304471704992,157,428,566.6091310000047
100gb_cluster,2,1,16,729759,72975.9,215.66963476983497,201,498,558.1955569999991
100gb_cluster,2,1,24,742627,74262.7,318.9648504565549,305,708,558.4913329999981
100gb_cluster,2,1,32,805628,80562.8,393.02809237017584,379,865,558.1937869999965
100gb_cluster,2,1,64,883064,88306.4,720.0813032803965,701,1493,554.6750489999977
100gb_cluster,2,2,1,217592,21759.2,85.78324111180558,87,150,553.4426879999955
100gb_cluster,2,2,2,402833,40283.3,94.22944992093498,89,212,569.1782220000023
100gb_cluster,2,2,4,581878,58187.8,132.67243649012335,115,333,574.2163699999946
100gb_cluster,2,2,6,669037,66903.7,174.5049944920834,157,414,577.2154540000047
100gb_cluster,2,2,8,699399,69939.9,223.93423210499301,208,521,570.9210810000077
100gb_cluster,2,2,10,741375,74137.5,264.4087270274827,251,599,571.9410400000052
100gb_cluster,2,2,12,769012,76901.2,306.7460910883055,292,691,573.8943480000016
100gb_cluster,2,2,16,806903,80690.3,391.0075448969703,376,856,571.0083009999944
100gb_cluster,2,2,24,844244,84424.4,561.9921041784129,540,1207,573.1360469999781
100gb_cluster,2,2,32,882032,88203.2,718.2522119378889,690,1557,572.3103030000057
100gb_cluster,2,2,64,940946,94094.6,1352.164604557541,1340,2385,556.2706300000136
100gb_cluster,3,1,1,109518,10951.8,85.40217133256634,86,154,554.4808960000228
100gb_cluster,3,1,2,224266,22426.6,84.19920094887321,89,160,577.3821410000091
100gb_cluster,3,1,4,443727,44372.7,86.1231004649255,80,196,589.6240229999821
100gb_cluster,3,1,6,583464,58346.4,99.16006128912838,88,260,597.9866949999996
